instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	groceries,worms,tires,sweaters,moth balls	located in trunks
Use the Input below to identify the common property or characteristic shared by all these concepts.	sloths,pulsars,black holes,hydrogen,planets	located in universes
Use the Input below to identify the common property or characteristic shared by all these concepts.	debates,degrees,pencils,scholars,teachers	located in universities
Use the Input below to identify the common property or characteristic shared by all these concepts.	rubber,checks,bills,money,names	located in wallets
Use the Input below to identify the common property or characteristic shared by all these concepts.	connections,screws,pictures,doors,skylight	located in walls
Use the Input below to identify the common property or characteristic shared by all these concepts.	carnage,grenades,bombs,ammunition,weapons	located in war
Use the Input below to identify the common property or characteristic shared by all these concepts.	bacteriums,reeds,contaminants,lizards,impurities	located in water
Use the Input below to identify the common property or characteristic shared by all these concepts.	warm water,cold water,gum,plumbing,legionellas	located in water fountains
Use the Input below to identify the common property or characteristic shared by all these concepts.	pools,tourists,plant life,tranquility,puddles	located in waterfalls
Use the Input below to identify the common property or characteristic shared by all these concepts.	humans,ushers,lace,rice,flowers	located in weddings
Use the Input below to identify the common property or characteristic shared by all these concepts.	rivers,bald eagles,marmosets,sloths,marmots	located in wildernesses
Use the Input below to identify the common property or characteristic shared by all these concepts.	bluebirds,rings,flower pots,dead flies,pie	located in windowsills
Use the Input below to identify the common property or characteristic shared by all these concepts.	crabs,bugs,oak,cottages,horses	located in wood
Use the Input below to identify the common property or characteristic shared by all these concepts.	paper,monkeys,staplers,paperwork,chairs	located in work
Use the Input below to identify the common property or characteristic shared by all these concepts.	sticks,heifers,grills,foots,terraces	located in yards
Use the Input below to identify the common property or characteristic shared by all these concepts.	exotic animals,manure,wild dogs,weasels,reptiles	located in zoos
Use the Input below to identify the common property or characteristic shared by all these concepts.	regions,southwests,earth,homes,space	locations
Use the Input below to identify the common property or characteristic shared by all these concepts.	simulators,staplers,motors,pulleys,calenders	machines
Use the Input below to identify the common property or characteristic shared by all these concepts.	teapot,water bottle,pottery,vase,bowl	made of ceramic
Use the Input below to identify the common property or characteristic shared by all these concepts.	pants,underwears,sock,cotton shirt,towel	made of cotton
Use the Input below to identify the common property or characteristic shared by all these concepts.	cushion,towel,sofa,tablecloth,blanket	made of fabric
Use the Input below to identify the common property or characteristic shared by all these concepts.	tv,picture frame,magnifying glass,windows,vacuum tubes	made of glass
Use the Input below to identify the common property or characteristic shared by all these concepts.	paperclip,bicycle,key,stapler,computer	made of metal
Use the Input below to identify the common property or characteristic shared by all these concepts.	envelope,envelopes,napkin,book,index cards	made of paper
Use the Input below to identify the common property or characteristic shared by all these concepts.	ziplock bags,hairbrush,plastic cup,laptops,hearing aid	made of plastic
Use the Input below to identify the common property or characteristic shared by all these concepts.	tire,car tire,frisbee,balloons,rubber duck	made of rubber
Use the Input below to identify the common property or characteristic shared by all these concepts.	wooden house,cedar chest,chairs,wood plank,door	made of wood
Use the Input below to identify the common property or characteristic shared by all these concepts.	socks,sock,jacket,wool sweater,sheep	made of wool
Use the Input below to identify the common property or characteristic shared by all these concepts.	couch,rug,carpet,stuffed animal,tablecloth	made up of fabric
Use the Input below to identify the common property or characteristic shared by all these concepts.	car,spoon,scooter,refrigerator,bike	made up of metal
Use the Input below to identify the common property or characteristic shared by all these concepts.	gummy bear,frisbee,flip-flops,bottle cap,phone charger	made up of plastic
Use the Input below to identify the common property or characteristic shared by all these concepts.	tv,webcam,record,computer,cd	made up of plastic and metal
Use the Input below to identify the common property or characteristic shared by all these concepts.	soccer ball,gum,car tire,pencil eraser,bicycle tire	made up of rubber
Use the Input below to identify the common property or characteristic shared by all these concepts.	puzzle,table,bookshelf,violin,bed	made up of wood
Use the Input below to identify the common property or characteristic shared by all these concepts.	residents,punch,searchlights,billboards,black belts	magazines
Use the Input below to identify the common property or characteristic shared by all these concepts.	amplitude,order,intensity,degrees,proportion	magnitudes
Use the Input below to identify the common property or characteristic shared by all these concepts.	air mail,first classes,special deliveries,bulk mail,snail mail	mail
Use the Input below to identify the common property or characteristic shared by all these concepts.	steelmakers,manufacturers,patternmakers,spinners,ironworkers	makers
Use the Input below to identify the common property or characteristic shared by all these concepts.	eyeshadow,lip gloss,nail polish,lipstick,mascara	makeup items
Use the Input below to identify the common property or characteristic shared by all these concepts.	lip liner,eyeliner,primer,eyeshadow,concealer	makeup products
Use the Input below to identify the common property or characteristic shared by all these concepts.	landscapings,tanning,compostings,mintings,manufacturing	making
Use the Input below to identify the common property or characteristic shared by all these concepts.	women female and men,usually female but,humans,gentelman,all kings	male
Use the Input below to identify the common property or characteristic shared by all these concepts.	peacocks,roosters,eunuchs,bucks,goats	male animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	brothers,sires,bullocks,humans,chaps	males
Use the Input below to identify the common property or characteristic shared by all these concepts.	manatees,hippopotamuses,foxs,equines,hooded seals	mammals
Use the Input below to identify the common property or characteristic shared by all these concepts.	database management,pest control,authorization,conducting,houses	management
Use the Input below to identify the common property or characteristic shared by all these concepts.	assists,devices,completions,icing,measures	maneuvers
Use the Input below to identify the common property or characteristic shared by all these concepts.	bearings,bedside manners,formality,gentlenesses,forms	manners
Use the Input below to identify the common property or characteristic shared by all these concepts.	clownfish,whales,killer whale,dolphins,blue whale	marine animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	whales,sea lion,shark,dolphin,walrus	marine mammals
Use the Input below to identify the common property or characteristic shared by all these concepts.	sea turtles,sea anemone,seashells,echinoderms,sponges	marine organisms
Use the Input below to identify the common property or characteristic shared by all these concepts.	spots,pegs,bookmarks,postmarks,watermarks	markers
Use the Input below to identify the common property or characteristic shared by all these concepts.	bear markets,stock trade,housing markets,monopoly,labor markets	markets
Use the Input below to identify the common property or characteristic shared by all these concepts.	spots,handwriting,stripes,coloring,lineations	marking
Use the Input below to identify the common property or characteristic shared by all these concepts.	lines,check marks,fingerprints,arrows,quartiles	marks
Use the Input below to identify the common property or characteristic shared by all these concepts.	shocks,bulk,low mass,forces,drifts	mass
Use the Input below to identify the common property or characteristic shared by all these concepts.	discharge,atoms,toner,plastic,railings	materials
Use the Input below to identify the common property or characteristic shared by all these concepts.	silk,polyester,wool,hair,denim	materials used for clothing
Use the Input below to identify the common property or characteristic shared by all these concepts.	snack,salad,feastings,messes,suppers	meals
Use the Input below to identify the common property or characteristic shared by all these concepts.	tenors,nuances,senses,morals,points	meaning
Use the Input below to identify the common property or characteristic shared by all these concepts.	swans,wings,pocketbooks,escapes,dogs	means
Use the Input below to identify the common property or characteristic shared by all these concepts.	car,elevator,escalator,skateboard,station	means of transportation
Use the Input below to identify the common property or characteristic shared by all these concepts.	soundings,calorimetries,sampling,photometries,scaling	measurements
Use the Input below to identify the common property or characteristic shared by all these concepts.	time units,volume,countermeasures,radicals,quantums	measures
Use the Input below to identify the common property or characteristic shared by all these concepts.	level,protractor,scale,tape measure,hygrometer	measuring devices
Use the Input below to identify the common property or characteristic shared by all these concepts.	pedometer,teaspoon,protractor,level,caliper	measuring tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	snails,veal,ground meat,gooses,sausage	meat
Use the Input below to identify the common property or characteristic shared by all these concepts.	turkey,salami,leg of lamb,bacon,fish	meats
Use the Input below to identify the common property or characteristic shared by all these concepts.	turkey,beef,roast,lamb,ribs	meaty
Use the Input below to identify the common property or characteristic shared by all these concepts.	robots,engines,curlers,air conditioners,props	mechanical devices
Use the Input below to identify the common property or characteristic shared by all these concepts.	clockwork,war,axises,hydraulic systems,gear	mechanisms
Use the Input below to identify the common property or characteristic shared by all these concepts.	anticoagulation,hospices,disinfection,dressings,intensive care	medical care
Use the Input below to identify the common property or characteristic shared by all these concepts.	dependence,constipation,palpitation,drives,severe conditions	medical conditions
Use the Input below to identify the common property or characteristic shared by all these concepts.	blood pressure cuff,scalpels,pacemakers,syringe,implants	medical devices
Use the Input below to identify the common property or characteristic shared by all these concepts.	syringe,medical tools,surgical gloves,thermometer,blood pressure monitor	medical equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	stethoscope,syringe,reflex hammer,otoscope,blood pressure monitors	medical instruments
Use the Input below to identify the common property or characteristic shared by all these concepts.	transfers,operations,surgical procedures,echocardiograms,ligation	medical procedures
Use the Input below to identify the common property or characteristic shared by all these concepts.	medicine,bandaid,antibiotic,cotton swabs,syringe	medical supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	pet scans,stress tests,parameters,pathology,amniocentesis	medical tests
Use the Input below to identify the common property or characteristic shared by all these concepts.	nursings,blood transfusions,first aid,surgical treatments,rehabilitation	medical treatments
Use the Input below to identify the common property or characteristic shared by all these concepts.	allergy medicine,tablet,sleeping pills,multi-vitamins,penicillin	medications
Use the Input below to identify the common property or characteristic shared by all these concepts.	vaccines,corticosteroids,vitamin,antihypertensive,marijuana	medicine
Use the Input below to identify the common property or characteristic shared by all these concepts.	publishing,cinema,films,newspapers,cds	mediums
Use the Input below to identify the common property or characteristic shared by all these concepts.	classes,forums,dates,conferences,socialization	meetings
Use the Input below to identify the common property or characteristic shared by all these concepts.	council members,charter members,commissioners,tribesmans,male members	members
Use the Input below to identify the common property or characteristic shared by all these concepts.	gentlemans,fellows,white,catholic priests,bachelors	men
Use the Input below to identify the common property or characteristic shared by all these concepts.	commitment,approval,offers,notes,refusals	messages
Use the Input below to identify the common property or characteristic shared by all these concepts.	silver,foil,mercury,scrap metal,heavy metal	metal
Use the Input below to identify the common property or characteristic shared by all these concepts.	gadoliniums,rhodiums,thalliums,holmiums,alkali metal	metallic elements
Use the Input below to identify the common property or characteristic shared by all these concepts.	silver,stainless steel,gold,magnesium,platinum	metals
Use the Input below to identify the common property or characteristic shared by all these concepts.	rainbows,lightning bolt,lightning,thunderstorm,rain	meteorological phenomena
Use the Input below to identify the common property or characteristic shared by all these concepts.	email,chat,television,social media,semaphore	methods of communication
Use the Input below to identify the common property or characteristic shared by all these concepts.	oven,baking,grilling,boiling,barbecue	methods of cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	germ,virus,fungi,viruses,bacteriums	microorganisms
Use the Input below to identify the common property or characteristic shared by all these concepts.	militia,enemies,naval units,phalanxs,commandos	military units
Use the Input below to identify the common property or characteristic shared by all these concepts.	raw milk,condensed milk,colostrums,homogenized milk,pasteurized milk	milk
Use the Input below to identify the common property or characteristic shared by all these concepts.	hematites,pearl,lapis lazulis,halites,malachites	minerals
Use the Input below to identify the common property or characteristic shared by all these concepts.	perfume,concentrates,fecal matter,hair color,mud	mixture
Use the Input below to identify the common property or characteristic shared by all these concepts.	stochastic processes,silk flowers,late models,simulation,mathematical models	models
Use the Input below to identify the common property or characteristic shared by all these concepts.	tricycle,cars,plane,moped,scooter	modes of transportation
Use the Input below to identify the common property or characteristic shared by all these concepts.	macromolecules,polymers,ozones,organic molecules,cofactors	molecules
Use the Input below to identify the common property or characteristic shared by all these concepts.	clams,cephalopods,scallops,abalone,snails	mollusks
Use the Input below to identify the common property or characteristic shared by all these concepts.	stock prices,balance,handouts,closing prices,marginal cost	monetary values
Use the Input below to identify the common property or characteristic shared by all these concepts.	piles,time,salary,funds,dollars	money
Use the Input below to identify the common property or characteristic shared by all these concepts.	vibes,reciprocation,descents,gestures,slides	motion
Use the Input below to identify the common property or characteristic shared by all these concepts.	buses,car,motorcycle,bloodmobiles,tanks	motor vehicles
Use the Input below to identify the common property or characteristic shared by all these concepts.	insertions,sorption,fallings,waving,reform movement	movement
Use the Input below to identify the common property or characteristic shared by all these concepts.	rom-coms,romantic comedy,film noir,mystery,adventure	movie genres
Use the Input below to identify the common property or characteristic shared by all these concepts.	terminators,musicals,foreign films,documentaries,features	movies
Use the Input below to identify the common property or characteristic shared by all these concepts.	muscles,cardiac muscles,tensors,hamstrings,dilators	muscles
Use the Input below to identify the common property or characteristic shared by all these concepts.	songs,bluegrass music,sections,chants,refrains	music
Use the Input below to identify the common property or characteristic shared by all these concepts.	classics,metal,classical,jazz,blues	music genres
Use the Input below to identify the common property or characteristic shared by all these concepts.	musical genres,tunes,songs,folk music,verses	musical compositions
Use the Input below to identify the common property or characteristic shared by all these concepts.	piano keys,keyboard,guitar strings,drums,guitar	musical equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	choir,baritones,keyboards,trumpet,bassoons	musical instruments
Use the Input below to identify the common property or characteristic shared by all these concepts.	accidentals,key signatures,slurs,staff,flats	musical notation
Use the Input below to identify the common property or characteristic shared by all these concepts.	saxophonists,fiddlers,trumpeters,musical performers,violists	musicians
Use the Input below to identify the common property or characteristic shared by all these concepts.	wyvern,phoenix,griffin,vampires,devil	mythical creatures
Use the Input below to identify the common property or characteristic shared by all these concepts.	scientific names,last names,street names,first names,weeds	names
Use the Input below to identify the common property or characteristic shared by all these concepts.	drought,tornado,tornado,earthquake,tsunami	natural disasters
Use the Input below to identify the common property or characteristic shared by all these concepts.	lead,tree,ice,plant,fire	natural elements
Use the Input below to identify the common property or characteristic shared by all these concepts.	beach,lake,ocean,hill,mountain	natural features
Use the Input below to identify the common property or characteristic shared by all these concepts.	forest fire,cyclone,tornado,flooding,landslide	natural hazards
Use the Input below to identify the common property or characteristic shared by all these concepts.	canyons,ocean,mountain,mountains,forest	natural landmarks
Use the Input below to identify the common property or characteristic shared by all these concepts.	desert,forests,forest,river,plateau	natural landscapes
Use the Input below to identify the common property or characteristic shared by all these concepts.	seed,silk,bone,acorn,rocks	natural materials
Use the Input below to identify the common property or characteristic shared by all these concepts.	pinecone,acorn,bodies,black bodies,constellations	natural objects
Use the Input below to identify the common property or characteristic shared by all these concepts.	sky,mountains,lightning,clouds,aurora borealis	natural phenomena
Use the Input below to identify the common property or characteristic shared by all these concepts.	extinction,releases,concretion,extractions,oxygenations	natural processes
Use the Input below to identify the common property or characteristic shared by all these concepts.	tropical rainforests,cinder cones,estuaries,lagoons,biomes	natural things
Use the Input below to identify the common property or characteristic shared by all these concepts.	sextant,lighthouse,telescope,gps,atlas	navigational tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	pans,chef's knife,spatula,frying pan,measuring cups	necessary for cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	guardians,statesmans,tabloids,standards,economists	newspapers
Use the Input below to identify the common property or characteristic shared by all these concepts.	which,getting promoted,garden,people,pleasant women	nice
Use the Input below to identify the common property or characteristic shared by all these concepts.	opossum,moth,bat,owl,wolf	nocturnal animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	slams,cracks,crackles,reports,grunts	noise
Use the Input below to identify the common property or characteristic shared by all these concepts.	policy,budget,mandates,code of conduct,grants	norms
Use the Input below to identify the common property or characteristic shared by all these concepts.	footnotes,monotones,protocols,tonic,trills	notes
Use the Input below to identify the common property or characteristic shared by all these concepts.	collective nouns,boxs,adjectives,proper nouns,count nouns	nouns
Use the Input below to identify the common property or characteristic shared by all these concepts.	twos,twelves,factors,dividends,scores	numbers
Use the Input below to identify the common property or characteristic shared by all these concepts.	barry,clint,anna,kirstin,pistachios	nuts
Use the Input below to identify the common property or characteristic shared by all these concepts.	almonds,walnut,hazelnut,peanuts,almond milk	nutty
Use the Input below to identify the common property or characteristic shared by all these concepts.	discard,floaters,projectiles,ribbons,trash	objects
Use the Input below to identify the common property or characteristic shared by all these concepts.	ninja,trade,sports,careers,plumbing	occupations
Use the Input below to identify the common property or characteristic shared by all these concepts.	fax machine,desk,scanners,copier,printer	office equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	bookcase,file cabinets,computer tables,table,bookcases	office furniture
Use the Input below to identify the common property or characteristic shared by all these concepts.	note paper,highlighter,staple,folder,binders	office supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	analysts,traders,comptrollers,designers,bank tellers	office workers
Use the Input below to identify the common property or characteristic shared by all these concepts.	inquisitors,starters,prosecutors,mandarins,searchers	officials
Use the Input below to identify the common property or characteristic shared by all these concepts.	baby oil,motor oil,cooking oil,linseed oil,almond oil	oil
Use the Input below to identify the common property or characteristic shared by all these concepts.	sesame oil,vegetable,margarine,tuna,butter	oily
Use the Input below to identify the common property or characteristic shared by all these concepts.	santa catarina,amapa,espirito santo,sergipe,paraiba	one of brazilian states
Use the Input below to identify the common property or characteristic shared by all these concepts.	fruit,asphalt,leather,pots,flower	opaque
Use the Input below to identify the common property or characteristic shared by all these concepts.	fog,minarets,puddles,trees,bushs	open air
Use the Input below to identify the common property or characteristic shared by all these concepts.	cracks,slits,gaps,salutations,holes	openings
Use the Input below to identify the common property or characteristic shared by all these concepts.	control operations,maneuvers,cryosurgeries,searchs,peacekeepings	operations
Use the Input below to identify the common property or characteristic shared by all these concepts.	life,shot,occasions,says,openings	opportunity
Use the Input below to identify the common property or characteristic shared by all these concepts.	lasers,binoculars,mirror,cameras,camera	optical devices
Use the Input below to identify the common property or characteristic shared by all these concepts.	spectacles,spectroscope,telescope,projectors,telescopes	optical instruments
Use the Input below to identify the common property or characteristic shared by all these concepts.	purse,paper bag,tote bag,messenger bag,backpacks	options for carrying items
Use the Input below to identify the common property or characteristic shared by all these concepts.	dental floss,mouthwash,dental scaler,toothpick,floss pick	oral hygiene tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	butternut squash,apple,pepper,apricots,yams	orange
Use the Input below to identify the common property or characteristic shared by all these concepts.	carrots,lion,carrot,sweet potato,construction vest	orange in color
Use the Input below to identify the common property or characteristic shared by all these concepts.	bell pepper,apricot,butternut squash,sweet potato,sweet potatoes	orange in colour
Use the Input below to identify the common property or characteristic shared by all these concepts.	mail order,market order,harmony,words,succession	order
Use the Input below to identify the common property or characteristic shared by all these concepts.	winnings,tin,deposits,waste,harbours	ore
Use the Input below to identify the common property or characteristic shared by all these concepts.	plastids,golgi apparatus,centrioles,nucleuses,chloroplasts	organelles
Use the Input below to identify the common property or characteristic shared by all these concepts.	enols,aldehydes,rennets,acetate,phenols	organic compounds
Use the Input below to identify the common property or characteristic shared by all these concepts.	corpses,dead trees,agricultural products,chlorophyll,organic compounds	organic matter
Use the Input below to identify the common property or characteristic shared by all these concepts.	parents,clones,relatives,amphidiploids,mascots	organisms
Use the Input below to identify the common property or characteristic shared by all these concepts.	notepad,calendar,planner,folder,address book	organizational tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	separatists,service organizations,professional organizations,libraries,forces	organizations
Use the Input below to identify the common property or characteristic shared by all these concepts.	skeletons,glands,lungs,brain,stingers	organs
Use the Input below to identify the common property or characteristic shared by all these concepts.	stained glass,potted plants,wall covering,jewelry,centerpieces	ornaments
Use the Input below to identify the common property or characteristic shared by all these concepts.	fishing,running,archeries,hunting,hikings	outdoor activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	swing,deck chair,hammock,bench,glider	outdoor seating options
Use the Input below to identify the common property or characteristic shared by all these concepts.	lake,balcony,garden,beach,forest	outdoor spaces
Use the Input below to identify the common property or characteristic shared by all these concepts.	homeowners,patrons,holders,lessors,renters	owners
Use the Input below to identify the common property or characteristic shared by all these concepts.	carbon monoxide,nitrogen dioxide,sulfur dioxide,carbon dioxide,pure water	oxide
Use the Input below to identify the common property or characteristic shared by all these concepts.	llama,yaks,burros,horse,reindeers	pack animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	bettings,compromises,booking,service agreement,understanding	pacts
Use the Input below to identify the common property or characteristic shared by all these concepts.	sports pages,magazine,newspaper,title pages,clipping	pages
Use the Input below to identify the common property or characteristic shared by all these concepts.	chronic pain,neuropathic pain,nociceptive pain,joint pain,eye irritation	pain
Use the Input below to identify the common property or characteristic shared by all these concepts.	childhood experiences,starving to death,hurt,love,burnt skin	painful
Use the Input below to identify the common property or characteristic shared by all these concepts.	tape,paint sprayer,brush,paint,paint roller	painting supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	spray-gun,brush,chisel,paint brush,airbrush	painting tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	finger paintings,body paintings,seascapes,nudes,abstraction	paintings
Use the Input below to identify the common property or characteristic shared by all these concepts.	wallpaper,wax paper,cards,documents,construction paper	paper
Use the Input below to identify the common property or characteristic shared by all these concepts.	toilet paper,notebook,diary,tissue paper,paper towel	paper products
Use the Input below to identify the common property or characteristic shared by all these concepts.	ticks,tick,louses,fleas,mosquito	parasites
Use the Input below to identify the common property or characteristic shared by all these concepts.	cockatoos,african grey,polls,macaws,budgerigars	parrots
Use the Input below to identify the common property or characteristic shared by all these concepts.	flour,oven mitts,chocolate chips,baking sheet,baking tray	part of a baking kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	showerhead,sink,soap,loofah,soap dispenser	part of a bathroom setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	sheets,comforter,pillow,mattress,blanket	part of a bedding set
Use the Input below to identify the common property or characteristic shared by all these concepts.	alarm clock,pillow,bedside table,bed,nightst	part of a bedroom setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	stove,backpack,sleeping bag,camping stove,flashlight	part of a camping setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	pedals,brakes,wheels,gear shift,wheel	part of a car
Use the Input below to identify the common property or characteristic shared by all these concepts.	mop,broom,cleaning spray,brush,glass cleaner	part of a cleaning kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	vegetable peeler,mixing bowl,knife,knives,cutting board	part of a cooking setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	tape measure,drill bits,pliers,drill,wire stripper	part of a diy toolkit
Use the Input below to identify the common property or characteristic shared by all these concepts.	waders,lures,hooks,bait,fishing tackle box	part of a fishing kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	spruce tree,acorn,palm tree,maple,deciduous tree	part of a forest
Use the Input below to identify the common property or characteristic shared by all these concepts.	playstation,gaming console,pedals,game disc,xbox	part of a gaming setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	tree,fruit,grass,plant,rock	part of a garden
Use the Input below to identify the common property or characteristic shared by all these concepts.	lawn mower,plant pot,shovel,weeder,gloves	part of a gardener's kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	potted plant,soil,watering can,gloves,shovel	part of a gardening kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	hair dryer,comb,hair ties,flat iron,hair spray	part of a hair styling kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	flat iron,curling wand,curling iron,hair rollers,hair straightener	part of a hairstyling kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	energy bar,hydration pack,backpack,compass,map	part of a hiking kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	streaming device,remote,television,speakers,receiver	part of a home entertainment system
Use the Input below to identify the common property or characteristic shared by all these concepts.	sound system,adapters,tv st,screen,cables	part of a home theater setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	blender,cutting board,oven,sink,dishwasher	part of a kitchen
Use the Input below to identify the common property or characteristic shared by all these concepts.	colander,chopping board,toaster,measuring cups,cutting board	part of a kitchen setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	river,rock,canyon,valley,mountain	part of a landscape
Use the Input below to identify the common property or characteristic shared by all these concepts.	cotton pads,concealer,lipstick,bronzer,makeup brushes	part of a makeup kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	bandages,insulin pen,antiseptic cream,stethoscope,needle	part of a medical kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	speaker,headphones,microphone,amplifier,speakers	part of a music setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	tuner,pick,picks,drum sticks,flute	part of a musician's kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	microphone,guitar pedal,pedals,picks,pick	part of a musician's setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	painting rollers,painter's tape,masking tape,paint roller,paint pan	part of a painting kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint can,brushes,paints,paint roller,brush	part of a painting setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	sanitizer,shampoo,face mask,h,soap	part of a personal hygiene kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	root,branch,petal,flowers,tree	part of a plant
Use the Input below to identify the common property or characteristic shared by all these concepts.	running shoe,moisture-wicking clothes,earphones,water bottle,armb	part of a running kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	rotary cutter,needle,thread,sewing needle,fabric	part of a sewing kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	rollerblade,ice skates,skateboard,helmet,elbow pads	part of a skating kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	tea kettle,teacups,sugar bowl,tea infuser,saucer	part of a tea set
Use the Input below to identify the common property or characteristic shared by all these concepts.	earplugs,suitcase,passport,eye mask,sleeping mask	part of a travel kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	branches,branch,seed,twig,tree trunk	part of a tree
Use the Input below to identify the common property or characteristic shared by all these concepts.	accelerators,fuselages,flaps,rudders,cockpits	part of airplanes
Use the Input below to identify the common property or characteristic shared by all these concepts.	r,letters,ms,ls,us	part of alphabets
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint,pencils,canvas,eraser,palette	part of an artist's kit
Use the Input below to identify the common property or characteristic shared by all these concepts.	paint,paintbrush,canvas,pencils,easel	part of an artist's toolkit
Use the Input below to identify the common property or characteristic shared by all these concepts.	stapler,printer,copier,stationery set,paperclip	part of an office setup
Use the Input below to identify the common property or characteristic shared by all these concepts.	fenders,windshield wipers,bumpers,trunks,transmissions	part of automobiles
Use the Input below to identify the common property or characteristic shared by all these concepts.	blanket,bedsheet,sheets,pillowcase,sheet	part of bedding
Use the Input below to identify the common property or characteristic shared by all these concepts.	feathers,dark meat,oysters,wings,air sacs	part of birds
Use the Input below to identify the common property or characteristic shared by all these concepts.	intestines,toes,hands,vessels,thighs	part of bodies
Use the Input below to identify the common property or characteristic shared by all these concepts.	floors,foundations,shafts,foundation stones,heating systems	part of buildings
Use the Input below to identify the common property or characteristic shared by all these concepts.	windshield wipers,bumpers,sunroofs,floorboards,third gear	part of cars
Use the Input below to identify the common property or characteristic shared by all these concepts.	keyboards,mouses,hardware,disk drives,chips	part of computers
Use the Input below to identify the common property or characteristic shared by all these concepts.	cement,hammer,nails,tools,masonry	part of construction
Use the Input below to identify the common property or characteristic shared by all these concepts.	frying,preparation,measuring cups,seasoning,presentation	part of cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	noses,eyes,features,cheek,beard	part of faces
Use the Input below to identify the common property or characteristic shared by all these concepts.	skirts,shoulders,liners,gussets,yokes	part of garments
Use the Input below to identify the common property or characteristic shared by all these concepts.	faces,chins,ears,mouths,temples	part of heads
Use the Input below to identify the common property or characteristic shared by all these concepts.	lofts,showers,chimneys,doors,walls	part of houses
Use the Input below to identify the common property or characteristic shared by all these concepts.	body parts,heads,boobs,bladders,spines	part of human bodies
Use the Input below to identify the common property or characteristic shared by all these concepts.	sex,skepticism,frustrations,births,death	part of human experience
Use the Input below to identify the common property or characteristic shared by all these concepts.	slapshots,fights,skates,power play,overtime	part of ice hockeys
Use the Input below to identify the common property or characteristic shared by all these concepts.	pasts,sleep,trouble,pain,crying	part of life
Use the Input below to identify the common property or characteristic shared by all these concepts.	suspensions,cabs,fuel systems,chassises,second gear	part of motor vehicles
Use the Input below to identify the common property or characteristic shared by all these concepts.	mankinds,plants,meadows,grass,characteristics	part of nature
Use the Input below to identify the common property or characteristic shared by all these concepts.	features,personals,editorials,columns,news articles	part of newspapers
Use the Input below to identify the common property or characteristic shared by all these concepts.	easel,palette knife,paintbrush,paint,color palette	part of painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	screws,helms,rudders,funnels,spars	part of ships
Use the Input below to identify the common property or characteristic shared by all these concepts.	uppers,spikes,saddles,lace,counters	part of shoes
Use the Input below to identify the common property or characteristic shared by all these concepts.	scabs,tissue,skin cells,pores,pressure points	part of skin
Use the Input below to identify the common property or characteristic shared by all these concepts.	death,pandemics,coons,pips,clubhouses	part of south parks
